dir,country_name_flag
countrys-flags/png/sint-eustatius.png,sint eustatius
countrys-flags/png/sint-maarten.png,sint maarten
countrys-flags/png/slovakia.png,slovakia
countrys-flags/png/slovenia.png,slovenia
countrys-flags/png/solomon-islands.png,solomon islands
countrys-flags/png/somalia.png,somalia
countrys-flags/png/somaliland.png,somaliland
countrys-flags/png/south-africa.png,south africa
countrys-flags/png/south-korea.png,south korea
countrys-flags/png/south-sudan.png,south sudan
countrys-flags/png/spain.png,spain
countrys-flags/png/sri-lanka.png,sri lanka
countrys-flags/png/st-barts.png,Saint Barth?lemy
countrys-flags/png/st-lucia.png,Saint Lucia
countrys-flags/png/st-vincent-and-the-grenadines.png,Saint Vincent and the Grenadines
countrys-flags/png/sudan.png,sudan
countrys-flags/png/suriname.png,suriname
countrys-flags/png/swaziland.png,swaziland
countrys-flags/png/sweden.png,sweden
countrys-flags/png/switzerland.png,switzerland
countrys-flags/png/syria.png,syria
countrys-flags/png/taiwan.png,taiwan
countrys-flags/png/tajikistan.png,tajikistan
countrys-flags/png/tanzania.png,tanzania
countrys-flags/png/thailand.png,thailand
countrys-flags/png/tibet.png,tibet
countrys-flags/png/togo.png,togo
countrys-flags/png/tokelau.png,tokelau
countrys-flags/png/tonga.png,tonga
countrys-flags/png/transnistria.png,transnistria
countrys-flags/png/trinidad-and-tobago.png,trinidad and tobago
countrys-flags/png/tunisia.png,tunisia
countrys-flags/png/turkey.png,turkey
countrys-flags/png/turkmenistan.png,turkmenistan
countrys-flags/png/turks-and-caicos.png,Turks and Caicos Islands
countrys-flags/png/tuvalu.png,tuvalu
countrys-flags/png/uganda.png,uganda
countrys-flags/png/ukraine.png,ukraine
countrys-flags/png/united-arab-emirates.png,united arab emirates
countrys-flags/png/united-kingdom.png,united kingdom
countrys-flags/png/united-nations.png,united nations
countrys-flags/png/united-states-of-america.png,united states of america
countrys-flags/png/uruguay.png,uruguay
countrys-flags/png/uzbekistn.png,Uzbekistan
countrys-flags/png/vanuatu.png,vanuatu
countrys-flags/png/vatican-city.png,vatican city
countrys-flags/png/venezuela.png,venezuela
countrys-flags/png/vietnam.png,vietnam
countrys-flags/png/virgin-islands.png,United States Virgin Islands
countrys-flags/png/wales.png,wales
countrys-flags/png/western-sahara.png,western sahara
countrys-flags/png/yemen.png,yemen
countrys-flags/png/zambia.png,zambia
countrys-flags/png/zimbabwe.png,zimbabwe
