rank,category,DCI
152,1.537028293106571,293353
153,1.53671234651756,290721
154,1.5347058362494796,732020
155,1.5338676553644124,292122
156,1.5323528443853525,847590
157,1.524206794475101,842091
158,1.5211433600880155,902690
159,1.5207152006423617,820760
160,1.5182768967577585,842870
161,1.513441151428625,902290
162,1.5133165971820914,291040
163,1.512038188563977,722710
164,1.5088696625603302,280480
165,1.5086526583715227,390430
166,1.50555170554658,382219
167,1.5032654877076288,820780
168,1.5018818327196795,848220
169,1.5005404504433564,292029
170,1.500404279302708,848640
171,1.4988486683421722,870850
172,1.4981918918937394,290312
173,1.4960649071073668,750610
174,1.4959880569791166,722550
175,1.4941915553272855,280620
176,1.4939111513144374,291030
177,1.493753361499292,291511
178,1.4925448092783202,851411
179,1.4921420610249478,293146
180,1.4913855657299304,711029
181,1.4899335718267739,400259
182,1.4894172108104768,381800
183,1.4835382939719362,722530
184,1.4824246618530297,292425
185,1.481581325276759,591131
186,1.4796571780252041,481032
187,1.4777558232718424,281112
188,1.4774194708515889,854190
189,1.4753636623442754,293147
190,1.4752378580290975,845611
191,1.4752337391990753,902720
192,1.4751223780978477,292990
193,1.474010978693407,902221
194,1.4738267685886983,382430
195,1.4736234584387915,846224
196,1.4645866011881628,902150
197,1.4634671457515946,293530
198,1.4593540194036576,851439
199,1.4579716733978552,750620
200,1.4564023378570916,440714
201,1.4560651194436258,846390
202,1.4551724156967383,282735
203,1.4531264760589424,722599
204,1.452722760747509,680690
205,1.4519320689035167,481013
206,1.4516496354738182,847989
207,1.4497655977827508,470421
208,1.4470750510195118,481019
209,1.447006901185341,848360
210,1.4439315600352411,160551
211,1.443743333194958,848390
212,1.4418938693213657,860310
213,1.440313465843643,400251
214,1.4383592605968192,845951
215,1.4379955120645196,300215
216,1.4366442640249573,291219
217,1.4315653202848575,840734
218,1.4309450744171741,750712
219,1.4308103107904975,901180
220,1.4289497633349522,290541
221,1.427940481664614,901050
222,1.4273389269251848,293331
223,1.4265128038355532,845811
224,1.4250413484675468,850760
225,1.4244669720379393,820810
226,1.41977568856308,293144
227,1.419453035404159,285390
228,1.4191718668534685,845931
229,1.4183916047622451,700600
230,1.4178073769077288,846791
231,1.4174834046810387,846023
232,1.415189769812148,382751
233,1.4151258965033526,842330
234,1.413284711865181,290723
235,1.412576556533791,680421
236,1.410880641367957,381129
237,1.4098154269904253,392093
238,1.4086454033096167,847950
239,1.4085853755136006,730512
240,1.4077180744781534,846792
241,1.407685647277869,854151
242,1.4073550607093144,845490
243,1.4067464029611327,293941
